;hh_number;factor;income;hh_structure;education;domicile_size;age;age_cat
39;17016;1081;28999.78;nuclear;Secundaria completa;<2500;44;35-44
40;17018;1081;74918.35;nuclear;Secundaria completa;<2500;49;45-54
41;17028;856;32107.2;nuclear;Secundaria completa;>100000;43;35-44
42;17033;856;113418.91;nuclear;Profesional completa;>100000;47;45-54
43;17040;1144;58624.05;ampliado;Primaria incompleta;15000-100000;44;35-44
44;18001;1953;19659.98;nuclear;Profesional completa;<2500;47;45-54
45;18018;954;42035.49;nuclear;Profesional completa;<2500;55;55-64
46;18021;1469;19987.68;nuclear;Preparatoria incompleta;<2500;32;25-34
47;18026;398;74304.38;nuclear;Primaria incompleta;2500-15000;36;35-44
48;18028;398;180451.87;nuclear;Posgrado;2500-15000;47;45-54
49;18031;1144;13759.97;nuclear;Secundaria completa;15000-100000;42;35-44
50;18035;1144;17709.14;nuclear;Primaria incompleta;15000-100000;34;25-34
51;18043;165;9971.13;nuclear;Primaria completa;>100000;32;25-34
52;19004;987;21989.04;nuclear;Preparatoria incompleta;<2500;38;35-44
53;19005;987;37122.03;nuclear;Secundaria completa;<2500;25;25-34
54;19016;1709;19019.76;unipersonal;Primaria completa;<2500;55;55-64
55;19021;1157;40197.18;nuclear;Secundaria completa;<2500;32;25-34
56;19022;1157;42712.52;nuclear;Preparatoria incompleta;<2500;36;35-44
57;19027;757;11443.09;nuclear;Primaria incompleta;>100000;49;45-54
58;19031;757;24297.67;nuclear;Secundaria completa;>100000;48;45-54
59;19032;757;121773.52;nuclear;Primaria completa;>100000;59;55-64
60;19833;1081;19016.29;unipersonal;Secundaria completa;<2500;41;35-44
61;21010;710;15856.44;unipersonal;Primaria completa;>100000;15;<25
62;21011;710;19642.02;nuclear;Primaria completa;>100000;25;25-34
63;21014;710;36225.46;coresidente;Preparatoria incompleta;>100000;19;<25
64;21019;362;36001.09;unipersonal;Preparatoria completa;2500-15000;29;25-34
65;21038;2167;7180.27;nuclear;Secundaria completa;<2500;28;25-34
66;21045;3768;39042.73;nuclear;Preparatoria completa;<2500;50;45-54
67;21050;2217;26178.07;ampliado;Secundaria completa;<2500;43;35-44
68;22014;710;29691.61;nuclear;Secundaria completa;>100000;30;25-34
69;22015;710;15516.24;nuclear;Sin instruccion;>100000;37;35-44
70;22020;362;22321.58;nuclear;Primaria completa;2500-15000;39;35-44
71;22024;347;40403.64;nuclear;Primaria completa;2500-15000;74;65-74
72;22025;347;53737.14;nuclear;Secundaria completa;2500-15000;40;35-44
73;22032;2073;181602.43;nuclear;Preparatoria completa;<2500;38;35-44
74;22034;2073;96510.1;ampliado;Primaria completa;<2500;73;65-74
75;22038;3396;86856.59;nuclear;Primaria completa;<2500;55;55-64
76;22050;2863;32734.24;nuclear;Profesional incompleta;<2500;29;25-34
77;22052;3174;4587.31;nuclear;Primaria incompleta;<2500;31;25-34
78;23004;1774;21323.48;unipersonal;Secundaria completa;<2500;34;25-34
79;23007;362;4778.9;nuclear;Secundaria completa;2500-15000;26;25-34
80;23012;3031;17139.45;nuclear;Primaria completa;15000-100000;45;45-54
81;23029;1031;28138.9;unipersonal;Primaria incompleta;>100000;44;35-44
82;23034;1031;59957.69;ampliado;Primaria incompleta;>100000;44;35-44
83;23043;1796;39345.07;ampliado;Primaria completa;<2500;49;45-54
84;23045;1796;51821.53;ampliado;Primaria incompleta;<2500;32;25-34
85;23047;2093;23545.58;nuclear;Secundaria completa;<2500;43;35-44
86;23049;2093;10620.44;nuclear;Sin instruccion;<2500;82;>=75
87;23059;2643;16332.94;nuclear;Primaria incompleta;<2500;74;65-74
88;24023;3226;46881.45;nuclear;Secundaria completa;<2500;36;35-44
89;24030;2133;42344.4;nuclear;Secundaria incompleta;<2500;45;45-54
90;24036;1195;7702.72;nuclear;Secundaria incompleta;>100000;67;65-74
91;24039;1195;6986.86;nuclear;Secundaria completa;>100000;36;35-44
92;24050;2245;76451.89;ampliado;Primaria incompleta;<2500;48;45-54
93;25022;2105;45122.42;ampliado;Primaria completa;<2500;41;35-44
94;25023;2105;52256.8;ampliado;Secundaria incompleta;<2500;51;45-54
95;25026;1031;14021.09;nuclear;Primaria incompleta;>100000;37;35-44
96;25027;1031;11431.05;unipersonal;Primaria completa;>100000;60;55-64
97;25033;1031;11230.51;unipersonal;Sin instruccion;>100000;75;>=75
98;25035;1031;28582.55;nuclear;Primaria incompleta;>100000;56;55-64
99;25036;2380;25607.02;ampliado;Secundaria completa;<2500;18;<25
100;25040;2380;70604.28;ampliado;Secundaria completa;<2500;30;25-34
101;25045;2158;87036.08;coresidente;Secundaria completa;<2500;32;25-34
102;25049;1781;14138.38;nuclear;Sin instruccion;<2500;62;55-64
103;25052;3631;62665.63;nuclear;Profesional completa;<2500;50;45-54
104;25054;3631;52893.72;nuclear;Secundaria completa;<2500;31;25-34
105;25055;3631;16474.79;nuclear;Primaria completa;<2500;45;45-54
106;25056;2597;77435.15;ampliado;Primaria incompleta;<2500;54;45-54
107;26007;490;10393.29;nuclear;Sin instruccion;15000-100000;37;35-44
108;26012;347;27073.47;nuclear;Secundaria completa;2500-15000;37;35-44
109;26020;2174;33398.68;nuclear;Secundaria completa;2500-15000;33;25-34
110;26039;1195;25408.96;nuclear;Primaria completa;>100000;39;35-44
111;27023;1872;24533.09;nuclear;Primaria incompleta;<2500;64;55-64
112;27025;1872;13190.83;ampliado;Primaria incompleta;<2500;67;65-74
113;27032;475;15040.81;nuclear;Secundaria completa;>100000;19;<25
114;27047;2405;71088;ampliado;Primaria incompleta;<2500;46;45-54
115;27052;3604;42114.49;nuclear;Primaria completa;<2500;62;55-64
116;27053;3604;51138.87;nuclear;Primaria incompleta;<2500;55;55-64
117;27054;3604;86935.91;ampliado;Secundaria completa;<2500;67;65-74
118;28001;2174;107927.86;nuclear;Secundaria completa;2500-15000;38;35-44
119;28017;347;17351.17;ampliado;Primaria incompleta;2500-15000;62;55-64
120;28021;347;18072.04;nuclear;Sin instruccion;2500-15000;72;65-74
121;28028;1884;31002.15;nuclear;Primaria completa;<2500;50;45-54
122;28049;3705;17845.19;nuclear;Secundaria incompleta;<2500;45;45-54
123;28051;2483;22088.71;nuclear;Secundaria completa;<2500;36;35-44
124;28053;2483;18147.63;ampliado;Primaria incompleta;<2500;32;25-34
125;29002;2188;23923.66;ampliado;Primaria completa;<2500;49;45-54
126;29005;2188;27846.66;nuclear;Preparatoria incompleta;<2500;36;35-44
127;29009;391;14518.08;unipersonal;Primaria incompleta;2500-15000;30;25-34
128;29015;3031;42676.15;nuclear;Primaria incompleta;15000-100000;38;35-44
129;29028;1842;117959.53;ampliado;Secundaria completa;<2500;63;55-64
130;29034;475;76623.28;ampliado;Secundaria completa;>100000;54;45-54
131;29048;1895;18248.52;nuclear;Primaria completa;<2500;64;55-64
132;29051;2327;44638.06;ampliado;Secundaria incompleta;<2500;47;45-54
133;31004;356;20338.12;nuclear;Primaria incompleta;>100000;65;65-74
134;31006;356;22199;nuclear;Sin instruccion;>100000;47;45-54
135;31008;356;12266.3;nuclear;Primaria incompleta;>100000;54;45-54
136;31011;482;6737.49;nuclear;Primaria completa;15000-100000;27;25-34
137;31014;482;38534.12;ampliado;Secundaria completa;15000-100000;27;25-34
138;31021;563;32698.67;nuclear;Primaria completa;<2500;68;65-74
139;31022;563;51992.14;ampliado;Secundaria completa;<2500;44;35-44
140;31024;563;8126.68;ampliado;Primaria incompleta;<2500;52;45-54
141;31027;573;18907.07;unipersonal;Primaria incompleta;<2500;74;65-74
142;31029;573;68741.13;nuclear;Preparatoria incompleta;<2500;34;25-34
143;31030;573;21835.02;nuclear;Preparatoria completa;<2500;34;25-34
144;31033;806;33717.37;ampliado;Primaria incompleta;15000-100000;33;25-34
145;32002;482;29437.96;nuclear;Secundaria completa;15000-100000;37;35-44
146;32015;221;79143.8;nuclear;Primaria incompleta;>100000;35;35-44
147;32016;631;8478;unipersonal;Secundaria incompleta;<2500;24;<25
148;32027;527;39298.22;nuclear;Secundaria completa;2500-15000;23;<25
149;32029;527;85273.98;coresidente;Secundaria completa;2500-15000;30;25-34
150;33006;628;16666.6;nuclear;Sin instruccion;<2500;59;55-64
151;33007;628;52275.32;ampliado;Secundaria completa;<2500;43;35-44
152;33014;607;28229.73;nuclear;Profesional completa;<2500;47;45-54
153;33015;607;244035.03;nuclear;Profesional completa;<2500;41;35-44
154;33019;527;23188.68;nuclear;Secundaria completa;2500-15000;29;25-34
155;33026;346;37701.68;nuclear;Preparatoria completa;>100000;20;<25
156;33028;346;75610.6;nuclear;Preparatoria incompleta;>100000;24;<25
157;33033;346;93863.62;compuesto;Secundaria completa;>100000;46;45-54
158;34002;1824;20925.26;nuclear;Profesional incompleta;2500-15000;42;35-44
159;34008;208;35236.67;nuclear;Primaria completa;>100000;50;45-54
160;34022;621;91620.48;nuclear;Profesional incompleta;<2500;39;35-44
161;34028;942;48089.2;nuclear;Primaria incompleta;2500-15000;42;35-44
162;35006;356;17419.78;nuclear;Primaria incompleta;>100000;64;55-64
163;35012;482;7319.86;nuclear;Primaria completa;15000-100000;29;25-34
164;35017;221;23614.17;nuclear;Preparatoria incompleta;>100000;22;<25
165;35022;221;34523.76;nuclear;Preparatoria completa;>100000;40;35-44
166;35024;221;58692;nuclear;Preparatoria incompleta;>100000;20;<25
167;35029;572;30018.61;ampliado;Sin instruccion;<2500;67;65-74
168;35033;695;60464.12;ampliado;Secundaria completa;<2500;63;55-64
169;35038;1290;73623.06;nuclear;Profesional completa;<2500;34;25-34
170;35045;527;85080.8;coresidente;Primaria completa;2500-15000;22;<25
171;36002;1824;35847.34;nuclear;Secundaria completa;2500-15000;40;35-44
172;36015;315;23865.01;nuclear;Secundaria completa;>100000;35;35-44
173;36018;639;91247.87;nuclear;Preparatoria completa;<2500;59;55-64
174;36025;495;48255.98;ampliado;Primaria incompleta;<2500;63;55-64
175;36027;942;37534.02;nuclear;Primaria completa;2500-15000;33;25-34
176;36032;806;45925.05;unipersonal;Preparatoria completa;15000-100000;42;35-44
177;37001;315;16785.61;nuclear;Primaria incompleta;>100000;47;45-54
178;37004;315;30839.72;nuclear;Primaria incompleta;>100000;63;55-64
179;37013;844;18662.76;nuclear;Primaria completa;<2500;52;45-54
180;37014;844;71460.42;ampliado;Secundaria completa;<2500;47;45-54
181;37017;505;157086.3;nuclear;Primaria completa;<2500;60;55-64
182;37025;618;19440.9;ampliado;Preparatoria completa;<2500;39;35-44
183;37029;942;37552.06;nuclear;Preparatoria completa;2500-15000;32;25-34
184;37034;806;31285.22;nuclear;Primaria incompleta;15000-100000;38;35-44
185;37035;806;160414.36;ampliado;Primaria incompleta;15000-100000;36;35-44
186;38003;1824;56439.42;nuclear;Preparatoria completa;2500-15000;32;25-34
187;38019;527;21474.66;unipersonal;Secundaria incompleta;2500-15000;48;45-54
188;38026;346;38906.59;nuclear;Preparatoria completa;>100000;27;25-34
189;38027;346;29026.72;nuclear;Preparatoria completa;>100000;39;35-44
190;38029;346;20596.67;nuclear;Primaria completa;>100000;61;55-64
191;39001;1824;86302;nuclear;Profesional completa;2500-15000;47;45-54
192;39003;1824;28062.32;ampliado;Primaria completa;2500-15000;41;35-44
193;39012;208;24109.98;nuclear;Primaria completa;>100000;48;45-54
194;39017;690;30639.41;nuclear;Preparatoria completa;<2500;32;25-34
195;39023;984;21430.56;nuclear;Sin instruccion;<2500;85;>=75
196;39033;317;89901.24;ampliado;Preparatoria completa;2500-15000;27;25-34
197;41006;684;38020.54;nuclear;Primaria completa;<2500;56;55-64
198;41011;823;25773.15;ampliado;Primaria incompleta;<2500;41;35-44
199;41027;465;20319.17;nuclear;Preparatoria completa;15000-100000;43;35-44
200;42001;350;118514.45;nuclear;Posgrado;<2500;38;35-44
201;42003;350;132881.21;nuclear;Posgrado;<2500;76;>=75
202;42006;629;16544.62;nuclear;Secundaria completa;<2500;48;45-54
203;42017;990;98746.3;nuclear;Preparatoria completa;<2500;26;25-34
204;42023;304;54563.33;nuclear;Primaria completa;2500-15000;57;55-64
205;42024;304;21340.58;nuclear;Secundaria completa;2500-15000;24;<25
206;42031;465;17623.38;nuclear;Secundaria completa;15000-100000;33;25-34
207;43006;666;64172.18;nuclear;Profesional completa;<2500;41;35-44
208;43010;666;112807.61;nuclear;Profesional incompleta;<2500;60;55-64
209;43011;709;21565.48;nuclear;Secundaria incompleta;<2500;51;45-54
210;43019;1068;43474.3;nuclear;Primaria completa;<2500;55;55-64
211;43028;335;17166.75;nuclear;Secundaria completa;2500-15000;27;25-34
212;43045;587;32044.29;nuclear;Secundaria completa;15000-100000;36;35-44
213;43049;323;11971.39;nuclear;Primaria completa;>100000;49;45-54
214;44004;717;36709.88;ampliado;Primaria incompleta;<2500;66;65-74
215;44012;784;36622.87;unipersonal;Profesional completa;<2500;33;25-34
216;44017;1161;188659.93;nuclear;Profesional completa;<2500;39;35-44
217;44021;356;25704.13;ampliado;Sin instruccion;>100000;40;35-44
218;44022;356;28176.23;nuclear;Primaria incompleta;>100000;46;45-54
219;44025;356;21227.68;nuclear;Primaria completa;>100000;35;35-44
220;44033;304;46901.5;nuclear;Secundaria completa;2500-15000;30;25-34
221;44039;335;38300.6;nuclear;Secundaria completa;2500-15000;48;45-54
222;44040;335;24789.64;nuclear;Profesional completa;2500-15000;29;25-34
223;44049;349;5847.58;nuclear;Secundaria completa;>100000;18;<25
224;45003;473;24673;nuclear;Primaria incompleta;15000-100000;68;65-74
225;45008;717;54429.75;nuclear;Secundaria completa;<2500;53;45-54
226;45029;367;6905.83;unipersonal;Sin instruccion;15000-100000;56;55-64
227;45035;587;3624.86;unipersonal;Primaria incompleta;15000-100000;66;65-74
228;45041;323;5870.98;unipersonal;Primaria incompleta;>100000;73;65-74
229;45045;323;12806.74;ampliado;Primaria completa;>100000;41;35-44
230;46002;473;14197.62;unipersonal;Preparatoria incompleta;15000-100000;30;25-34
231;46003;473;12250.74;nuclear;Preparatoria completa;15000-100000;31;25-34
232;46014;733;36139.89;nuclear;Preparatoria completa;<2500;67;65-74
233;46025;333;12648.4;unipersonal;Secundaria incompleta;2500-15000;69;65-74
234;46027;465;15860.57;nuclear;Primaria incompleta;15000-100000;63;55-64
235;46028;465;17731.64;nuclear;Secundaria completa;15000-100000;37;35-44
236;46029;465;23295.74;nuclear;Secundaria completa;15000-100000;50;45-54
237;46039;385;11802.05;nuclear;Sin instruccion;>100000;86;>=75
238;47003;605;74398.12;nuclear;Profesional completa;<2500;67;65-74
239;47018;1048;118526.74;nuclear;Preparatoria completa;<2500;49;45-54
240;47027;356;13000.3;ampliado;Secundaria completa;>100000;48;45-54
241;47030;356;11781.99;nuclear;Sin instruccion;>100000;43;35-44
242;47033;304;9891.04;unipersonal;Primaria incompleta;2500-15000;80;>=75
243;47048;364;17672.98;nuclear;Primaria incompleta;>100000;52;45-54
244;48002;316;22034.3;nuclear;Secundaria completa;<2500;38;35-44
245;48013;969;28053.3;nuclear;Secundaria completa;<2500;31;25-34
246;48035;349;5973.61;nuclear;Primaria completa;>100000;29;25-34
247;48037;349;10044.73;nuclear;Primaria incompleta;>100000;69;65-74
248;48038;349;42762.89;ampliado;Sin instruccion;>100000;50;45-54
249;48049;458;4124.58;unipersonal;Primaria incompleta;>100000;36;35-44
250;48053;587;35381.87;nuclear;Secundaria completa;15000-100000;36;35-44
251;49003;730;11654.8;ampliado;Primaria incompleta;<2500;85;>=75
252;49005;730;42646.91;nuclear;Secundaria completa;<2500;32;25-34
253;49009;817;116119.53;ampliado;Profesional completa;<2500;37;35-44
254;49018;994;71178.13;nuclear;Primaria completa;<2500;43;35-44
255;49023;304;29353.78;nuclear;Secundaria completa;2500-15000;45;45-54
256;49026;333;13844.62;nuclear;Sin instruccion;2500-15000;74;65-74
257;49034;364;3903.75;nuclear;Primaria completa;>100000;67;65-74
258;49042;465;15759.25;nuclear;Secundaria completa;15000-100000;32;25-34
259;49056;449;9846.16;unipersonal;Primaria incompleta;>100000;50;45-54
260;51001;417;10545.04;nuclear;Primaria completa;2500-15000;86;>=75
261;51005;417;13463.02;nuclear;Primaria completa;2500-15000;68;65-74
262;51011;2084;26776.43;nuclear;Primaria completa;<2500;57;55-64
263;51012;2084;23296;nuclear;Secundaria incompleta;<2500;29;25-34
264;51019;367;16773.92;nuclear;Secundaria completa;>100000;29;25-34
265;51020;367;9932.72;nuclear;Primaria incompleta;>100000;28;25-34
266;51025;367;19407.7;nuclear;Secundaria completa;>100000;40;35-44
267;51032;1718;320270.05;ampliado;Profesional completa;<2500;54;45-54
268;51033;1472;13163.83;nuclear;Primaria completa;<2500;39;35-44
269;51034;1472;45814.13;nuclear;Preparatoria completa;<2500;22;<25
270;51040;315;15812.55;nuclear;Primaria completa;2500-15000;54;45-54
271;51041;315;48067.93;nuclear;Primaria completa;2500-15000;50;45-54
272;51061;1762;31386.77;nuclear;Secundaria completa;<2500;37;35-44
273;52013;752;47486.27;ampliado;Primaria incompleta;>100000;72;65-74
274;52023;1726;11049.91;nuclear;Secundaria completa;2500-15000;24;<25
275;52024;1726;37857.97;nuclear;Primaria completa;2500-15000;63;55-64
276;52025;1726;39370.26;nuclear;Secundaria completa;2500-15000;48;45-54
277;52029;1147;6034.09;nuclear;Secundaria incompleta;<2500;28;25-34
278;52051;1517;22011.04;nuclear;Secundaria completa;<2500;29;25-34
279;52061;1136;70750.44;nuclear;Profesional completa;<2500;31;25-34
280;52062;1310;21128.87;ampliado;Primaria incompleta;<2500;55;55-64
281;52067;1084;16484.12;nuclear;Primaria completa;<2500;52;45-54
282;53016;2759;69066.12;unipersonal;Primaria completa;<2500;72;65-74
283;53024;1595;68960.97;nuclear;Profesional completa;<2500;44;35-44
284;53045;2722;9678.76;nuclear;Primaria completa;<2500;29;25-34
285;53054;1346;56711.38;nuclear;Primaria completa;<2500;60;55-64
286;53056;2061;37384.11;nuclear;Secundaria incompleta;>100000;39;35-44
287;53071;1087;10555.89;nuclear;Primaria completa;15000-100000;43;35-44
288;54006;2541;35186.22;nuclear;Secundaria completa;2500-15000;49;45-54
289;54008;2541;23279.44;nuclear;Secundaria completa;2500-15000;34;25-34
290;54014;417;18147.68;ampliado;Primaria completa;2500-15000;83;>=75
291;54033;1190;62217.11;nuclear;Secundaria completa;<2500;45;45-54
292;54042;2274;49845.51;ampliado;Secundaria completa;2500-15000;38;35-44
293;54050;1217;67914.97;ampliado;Secundaria completa;<2500;78;>=75
294;54056;1250;34077.21;nuclear;Preescolar;<2500;63;55-64
295;54061;1156;32132.48;unipersonal;Posgrado;<2500;46;45-54
296;55012;1214;17472.43;nuclear;Secundaria completa;<2500;27;25-34
297;55013;1214;30567.96;nuclear;Primaria completa;<2500;53;45-54
298;55014;1214;80167.52;nuclear;Secundaria completa;<2500;52;45-54
299;55018;1392;6076.49;nuclear;Secundaria completa;<2500;44;35-44
300;55023;1589;15040.85;unipersonal;Secundaria completa;2500-15000;75;>=75
301;55038;690;34864.63;nuclear;Primaria incompleta;>100000;49;45-54
302;55043;1658;22095.01;compuesto;Sin instruccion;<2500;65;65-74
303;55044;1658;113105.91;ampliado;Profesional completa;<2500;54;45-54
304;55054;1312;38193.71;compuesto;Secundaria completa;<2500;50;45-54
305;55058;1382;15449.46;nuclear;Secundaria incompleta;<2500;34;25-34
306;55059;1382;36261.65;nuclear;Preparatoria completa;<2500;52;45-54
307;55071;1159;30502.81;ampliado;Profesional completa;<2500;72;65-74
308;56009;7176;35245.66;nuclear;Profesional completa;2500-15000;46;45-54
309;56016;1323;14689.88;nuclear;Preparatoria completa;15000-100000;23;<25
310;56038;1252;33139.94;ampliado;Primaria completa;<2500;47;45-54
311;56041;1252;24165.59;nuclear;Secundaria incompleta;<2500;37;35-44
312;56053;3293;160184.77;nuclear;Profesional completa;<2500;38;35-44
313;56058;1373;20064.47;nuclear;Primaria completa;<2500;49;45-54
314;56066;1263;41481.58;nuclear;Secundaria incompleta;<2500;31;25-34
315;56067;1263;32879.35;unipersonal;Preparatoria completa;<2500;40;35-44
316;57017;1111;99419.79;nuclear;Secundaria completa;<2500;46;45-54
317;57022;1323;22125.12;nuclear;Preparatoria incompleta;15000-100000;32;25-34
318;57047;1681;92150.2;nuclear;Profesional completa;<2500;32;25-34
319;57048;1681;109874.45;nuclear;Profesional completa;<2500;50;45-54
320;57050;1681;76886.61;unipersonal;Profesional completa;<2500;56;55-64
321;57052;1446;34974.42;ampliado;Secundaria completa;<2500;63;55-64
322;57061;2061;8337.64;nuclear;Secundaria completa;>100000;34;25-34
323;58019;1781;38412.42;nuclear;Preparatoria incompleta;<2500;46;45-54
324;58026;1323;16791.6;ampliado;Secundaria completa;15000-100000;41;35-44
325;58031;1589;24363.25;ampliado;Primaria incompleta;2500-15000;79;>=75
326;58038;1182;25079.13;nuclear;Profesional completa;<2500;34;25-34
327;58039;1182;17240.22;nuclear;Primaria completa;<2500;59;55-64
328;58055;1543;77732.4;nuclear;Posgrado;<2500;41;35-44
329;58061;1116;15274.31;ampliado;Primaria incompleta;<2500;64;55-64
330;58062;1116;13495.87;nuclear;Secundaria incompleta;<2500;72;65-74
331;58070;1332;9456.95;nuclear;Preparatoria completa;<2500;38;35-44
332;59002;1388;7964.81;nuclear;Preparatoria completa;<2500;38;35-44
333;59028;1715;59065.46;nuclear;Secundaria completa;<2500;36;35-44
334;59031;794;61248.3;nuclear;Primaria completa;2500-15000;85;>=75
335;59037;315;89225.85;nuclear;Profesional completa;2500-15000;43;35-44
336;59042;1152;18799.55;nuclear;Primaria incompleta;<2500;83;>=75
337;59052;1208;16317.81;ampliado;Primaria completa;<2500;68;65-74
338;59056;1087;32665.72;nuclear;Primaria completa;15000-100000;38;35-44
339;59811;1373;35085.43;nuclear;Primaria completa;<2500;60;55-64
340;61001;759;22438.35;nuclear;Secundaria completa;15000-100000;39;35-44
341;61002;759;8855.68;nuclear;Sin instruccion;15000-100000;60;55-64
342;61005;759;17513.89;ampliado;Sin instruccion;15000-100000;62;55-64
343;61008;733;30104.54;nuclear;Primaria completa;<2500;54;45-54
344;61009;733;23869.43;nuclear;Sin instruccion;<2500;87;>=75
345;61015;457;428073.86;nuclear;Secundaria completa;<2500;51;45-54
346;61022;1587;5983.56;unipersonal;Sin instruccion;<2500;84;>=75
347;61024;1587;25430.13;nuclear;Secundaria incompleta;<2500;46;45-54
348;61037;387;15864.41;nuclear;Primaria completa;2500-15000;52;45-54
349;61038;387;49115.06;ampliado;Preparatoria incompleta;2500-15000;20;<25
350;62010;189;43776.17;nuclear;Primaria incompleta;>100000;52;45-54
351;62026;876;24144.46;nuclear;Primaria completa;15000-100000;46;45-54
352;62027;876;20513.88;ampliado;Primaria completa;15000-100000;45;45-54
353;62030;876;15344.84;nuclear;Secundaria completa;15000-100000;26;25-34
354;62040;198;132071.26;nuclear;Profesional incompleta;2500-15000;45;45-54
355;63008;1218;27722.01;ampliado;Secundaria completa;<2500;36;35-44
356;63010;1218;28865.85;nuclear;Primaria completa;<2500;27;25-34
357;63015;706;249076.31;nuclear;Profesional completa;<2500;56;55-64
358;63021;228;33159.74;ampliado;Primaria completa;>100000;53;45-54
359;63024;228;45621.08;nuclear;Primaria incompleta;>100000;47;45-54
360;63034;195;51089.57;nuclear;Secundaria completa;2500-15000;38;35-44
361;63035;195;37157.28;nuclear;Secundaria completa;2500-15000;30;25-34
362;63038;238;68910.52;ampliado;Profesional incompleta;2500-15000;45;45-54
363;63042;290;40612.34;nuclear;Primaria incompleta;2500-15000;62;55-64
364;63045;290;15753.23;nuclear;Secundaria completa;2500-15000;43;35-44
365;63048;251;22866.06;unipersonal;Secundaria completa;2500-15000;35;35-44
366;64006;528;10359.81;nuclear;Preparatoria completa;<2500;40;35-44
367;64008;528;82163.27;nuclear;Profesional incompleta;<2500;33;25-34
368;64013;253;17077.97;nuclear;Preparatoria incompleta;2500-15000;49;45-54
369;64014;253;99811.88;nuclear;Primaria completa;2500-15000;54;45-54
370;64019;407;16398.43;nuclear;Secundaria incompleta;>100000;44;35-44
371;64023;407;46294.76;nuclear;Sin instruccion;>100000;39;35-44
372;64024;407;32378.37;nuclear;Primaria completa;>100000;56;55-64
373;64029;195;15828.23;ampliado;Preparatoria completa;2500-15000;23;<25
374;64040;474;40625.58;ampliado;Primaria incompleta;2500-15000;61;55-64
375;65006;447;31761.16;nuclear;Profesional completa;<2500;44;35-44
376;65027;303;7921.53;unipersonal;Primaria incompleta;>100000;57;55-64
377;65032;303;23538.86;ampliado;Primaria completa;>100000;45;45-54
378;65035;303;18255.71;ampliado;Sin instruccion;>100000;43;35-44
379;65040;252;21047.23;nuclear;Secundaria completa;2500-15000;39;35-44
380;65041;275;1754.76;nuclear;Secundaria completa;2500-15000;38;35-44
381;65042;275;64493.13;ampliado;Primaria completa;2500-15000;55;55-64
382;66003;475;22360.75;nuclear;Secundaria incompleta;<2500;30;25-34
383;66023;407;6708.22;unipersonal;Sin instruccion;>100000;63;55-64
384;66025;407;30830.21;nuclear;Primaria completa;>100000;43;35-44
385;66028;407;20149.7;nuclear;Sin instruccion;>100000;64;55-64
